index,Beras,Beras Kualitas Bawah I,Beras Kualitas Bawah II,Beras Kualitas Medium I,Beras Kualitas Medium II,Beras Kualitas Super I,Beras Kualitas Super II
31-12-2020,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
01-01-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
04-01-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
05-01-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
06-01-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
07-01-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
08-01-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
11-01-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
12-01-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
13-01-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
14-01-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
15-01-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
18-01-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
19-01-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
20-01-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
21-01-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
22-01-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
25-01-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
26-01-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
27-01-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
28-01-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
29-01-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
01-02-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
02-02-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
03-02-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
04-02-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
05-02-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
08-02-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
09-02-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
10-02-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
11-02-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
12-02-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
15-02-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
16-02-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
17-02-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
18-02-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
19-02-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
22-02-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
23-02-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16250.0,14200.0
24-02-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16250.0,14200.0
25-02-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16250.0,14200.0
26-02-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16250.0,14200.0
01-03-2021,13450.0,12150.0,11300.0,13950.0,12750.0,16250.0,14200.0
02-03-2021,13450.0,12150.0,11250.0,13950.0,12750.0,16250.0,14200.0
03-03-2021,13450.0,12150.0,11250.0,13950.0,12750.0,16250.0,14200.0
04-03-2021,13450.0,12150.0,11250.0,13950.0,12750.0,16250.0,14200.0
05-03-2021,13450.0,12150.0,11250.0,13950.0,12750.0,16250.0,14200.0
08-03-2021,13450.0,12150.0,11250.0,13950.0,12750.0,16250.0,14200.0
09-03-2021,13450.0,12150.0,11250.0,13950.0,12750.0,16250.0,14200.0
10-03-2021,13450.0,12150.0,11250.0,13950.0,12750.0,16250.0,14200.0
11-03-2021,13425.0,12150.0,11250.0,13950.0,12750.0,16175.0,14200.0
12-03-2021,13400.0,12150.0,11250.0,13950.0,12750.0,16100.0,14200.0
15-03-2021,13400.0,12150.0,11250.0,13950.0,12750.0,16100.0,14200.0
16-03-2021,13400.0,12150.0,11250.0,13950.0,12750.0,16100.0,14200.0
17-03-2021,13400.0,12150.0,11250.0,13950.0,12750.0,16100.0,14200.0
18-03-2021,13400.0,12150.0,11250.0,13950.0,12750.0,16100.0,14200.0
19-03-2021,13400.0,12100.0,11250.0,13950.0,12750.0,16100.0,14200.0
22-03-2021,13400.0,12100.0,11250.0,13950.0,12750.0,16100.0,14200.0
23-03-2021,13400.0,12100.0,11250.0,13950.0,12750.0,16100.0,14200.0
24-03-2021,13400.0,12100.0,11250.0,13950.0,12750.0,16100.0,14200.0
25-03-2021,13400.0,12100.0,11250.0,13950.0,12750.0,16100.0,14200.0
26-03-2021,13400.0,12100.0,11250.0,13950.0,12750.0,16100.0,14200.0
29-03-2021,13400.0,12100.0,11250.0,13950.0,12750.0,16100.0,14200.0
